time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,2.25552,0.925563,0.000534239,0.000423802,0.000423992,-0.00556121,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.000105218,-0.00538039,0.000423992,-0.00556121,0,7.27596e-12,3.79282,-0.204782,-0.106225,1.16106,0,0,
0.00846468,2.25556,0.925603,0.00106682,0.00109942,0.000423096,-0.0055611,0.236725,0.235173,0.233405,0.234077,0.234578,0.234582,0.234579,0.100674,0.100674,0.100674,0.100674,0.100674,0.100674,0.100674,-0.00042925,-0.00578839,0.000423096,-0.0055611,0,0,3.79266,-0.2048,-0.106008,1.16112,0,0,
0.0168451,2.25629,0.926052,0.0147455,0.00936692,0.000423012,-0.00560105,0.274376,0.271202,0.2677,0.269086,0.270042,0.270049,0.270041,0.101611,0.1016,0.101586,0.101591,0.101595,0.101595,0.101595,-0.00842552,-0.0107192,0.000423012,-0.00560105,0,7.27596e-12,3.79266,-0.2048,-0.105271,1.16157,0,0,
0.0416276,2.25708,0.925106,0.0238656,-0.0160672,0.00042351,-0.00564751,0.388565,0.380462,0.37173,0.375286,0.377608,0.377599,0.377589,0.105197,0.105116,0.105025,0.10506,0.105086,0.105086,0.105086,-0.0171836,0.00311041,0.00042351,-0.00564751,1.81899e-11,-7.27596e-12,3.79264,-0.204897,-0.104453,1.16074,0,0,
0.0501367,2.25733,0.925432,0.0246469,-0.00882548,0.000436842,-0.00584328,0.427732,0.417937,0.407418,0.411723,0.414503,0.414485,0.41448,0.10727,0.107128,0.106971,0.107032,0.107077,0.107077,0.107077,-0.0202818,0.00296946,0.000436841,-0.00584328,7.27596e-11,-1.45519e-10,3.79259,-0.204832,-0.10415,1.16099,0,0,
0.0583403,2.25673,0.925013,0.0130994,-0.0138062,0.0004477,-0.00595183,0.464852,0.453463,0.441235,0.446245,0.449463,0.449445,0.449444,0.109541,0.109327,0.109094,0.109186,0.109251,0.109251,0.109251,-0.0147878,0.0057453,0.0004477,-0.00595183,0,-1.96451e-10,3.79259,-0.204832,-0.104752,1.16057,0,0,
0.0667654,2.25648,0.924645,0.00771937,-0.0175887,0.000458293,-0.00607092,0.502236,0.489253,0.475286,0.480999,0.484673,0.484654,0.484657,0.112134,0.111836,0.111512,0.111641,0.11173,0.11173,0.11173,-0.00966478,0.008843,0.000458293,-0.00607092,-1.12777e-10,-2.47383e-10,3.79267,-0.204809,-0.105089,1.16018,0,0,
0.0750267,2.25641,0.924717,0.00556466,-0.014159,0.000469071,-0.0062096,0.538953,0.524406,0.508733,0.51514,0.519251,0.519241,0.519237,0.114932,0.114541,0.114116,0.114285,0.114402,0.114402,0.114401,-0.00652401,0.00795059,0.000469071,-0.0062096,-2.21917e-10,-2.61934e-10,3.79267,-0.204809,-0.105161,1.16025,0,0,
0.0843431,2.25662,0.924796,0.00836982,-0.0104959,0.000479465,-0.00635985,0.581259,0.564907,0.547276,0.554493,0.559095,0.559083,0.55908,0.118368,0.117859,0.117306,0.117528,0.117678,0.117678,0.117678,-0.00696067,0.00543062,0.000479465,-0.00635985,-3.20142e-10,-2.25555e-10,3.79269,-0.204907,-0.104966,1.16044,0,0,
0.0918625,2.25616,0.92479,-0.00028352,-0.00929168,0.000494887,-0.00654205,0.61492,0.597137,0.577941,0.5858,0.590794,0.590784,0.590779,0.121401,0.120786,0.120118,0.120385,0.120567,0.120567,0.120566,-0.00215487,0.00371549,0.000494888,-0.00654205,-3.9654e-10,-2.47383e-10,3.79259,-0.204874,-0.105317,1.16039,0,0,
0.100059,2.25618,0.925003,3.94603e-05,-0.00426879,0.000507032,-0.00670462,0.651672,0.632332,0.611417,0.619981,0.625401,0.625396,0.62539,0.124929,0.124189,0.123385,0.123707,0.123925,0.123925,0.123924,-0.000558129,0.00010494,0.000507032,-0.00670462,-4.62023e-10,-2.61934e-10,3.79259,-0.204874,-0.1053,1.16061,0,0,
0.108632,2.25586,0.924881,-0.00572992,-0.00580714,0.000523298,-0.00689188,0.689915,0.668957,0.64626,0.655561,0.661419,0.661409,0.661412,0.128872,0.127989,0.12703,0.127416,0.127675,0.127674,0.127674,0.00336128,-0.000448557,0.000523298,-0.00689188,-5.31145e-10,-2.91038e-10,3.79268,-0.204924,-0.105716,1.16054,0,0,
0.11693,2.25604,0.924913,-0.00167383,-0.00435329,0.000539541,-0.00710048,0.72729,0.704746,0.680325,0.690356,0.696616,0.696612,0.696612,0.13294,0.131908,0.130788,0.131239,0.13154,0.13154,0.131539,0.00247617,-0.00161096,0.000539542,-0.00710048,-5.78439e-10,-3.49246e-10,3.79288,-0.204739,-0.105774,1.16036,0,0,
0.125018,2.25608,0.924866,-0.000669202,-0.00456064,0.000555893,-0.00731518,0.764102,0.739992,0.713901,0.724656,0.731294,0.731286,0.731288,0.137142,0.135956,0.134667,0.135186,0.135532,0.135531,0.135531,0.00158368,-0.002042,0.000555894,-0.00731518,-6.2937e-10,-3.49246e-10,3.79291,-0.204652,-0.105764,1.16022,0,0,
0.133292,2.25617,0.925036,0.00106567,-0.000752989,0.000572165,-0.00753868,0.802035,0.77631,0.748496,0.760008,0.767016,0.767012,0.767016,0.141679,0.140324,0.138851,0.139446,0.139839,0.139838,0.139838,0.000264507,-0.0045223,0.000572166,-0.00753868,-6.36646e-10,-3.34694e-10,3.79288,-0.20461,-0.105639,1.16034,0,0,
0.14823,2.25643,0.925285,0.00635839,0.00493783,0.000589186,-0.00778242,0.871232,0.842539,0.811642,0.824556,0.832192,0.832189,0.832191,0.15031,0.14863,0.146806,0.147544,0.148028,0.148027,0.148027,-0.00338104,-0.00898759,0.000589186,-0.00778242,-6.76664e-10,-3.27418e-10,3.7929,-0.204756,-0.105408,1.16076,0,0,
0.150148,2.25648,0.925306,0.00682278,0.00507606,0.000623543,-0.00823982,0.880237,0.85116,0.819865,0.832965,0.840675,0.840673,0.840675,0.15152,0.149794,0.14792,0.148679,0.149176,0.149175,0.149175,-0.00484392,-0.0108329,0.000623544,-0.00823982,-6.76664e-10,-2.61934e-10,3.7929,-0.204756,-0.105357,1.16078,0,0,
0.158557,2.25664,0.924789,0.00852714,-0.00433194,0.000625761,-0.00829963,0.919669,0.888917,0.855858,0.869761,0.877811,0.877818,0.877818,0.156883,0.154953,0.152858,0.153708,0.154261,0.15426,0.154259,-0.0063632,-0.00617698,0.000625762,-0.00829963,-6.8394e-10,-2.47383e-10,3.79267,-0.204859,-0.104932,1.16038,0,0,
0.167077,2.25671,0.924411,0.00850932,-0.0106296,0.000646709,-0.00858015,0.96009,0.927615,0.892767,0.907507,0.915884,0.915895,0.915893,0.162572,0.160424,0.158093,0.159041,0.159652,0.159651,0.159651,-0.00690624,-0.000970682,0.000646709,-0.00858015,-7.0213e-10,-2.47383e-10,3.79267,-0.204859,-0.104861,1.16,0,0,
0.175235,2.25675,0.92428,0.00801379,-0.011443,0.000668643,-0.0088797,0.999083,0.96494,0.928389,0.943945,0.95261,0.952628,0.952628,0.168268,0.1659,0.163332,0.164379,0.165049,0.165048,0.165048,-0.00681064,0.00124749,0.000668643,-0.0088797,-6.58474e-10,-2.18279e-10,3.79261,-0.204875,-0.104745,1.15989,0,0,
0.18329,2.25665,0.924248,0.00502558,-0.0103228,0.00069253,-0.00918141,1.03728,1.00151,0.96327,0.979627,0.988581,0.988598,0.988601,0.174126,0.171531,0.168719,0.169869,0.170598,0.170597,0.170597,-0.00503305,0.0012336,0.00069253,-0.00918141,-6.1118e-10,-2.47383e-10,3.79268,-0.204931,-0.104921,1.15992,0,0,
0.19181,2.25692,0.924139,0.00932756,-0.010734,0.000714586,-0.00948984,1.07855,1.04102,1.00101,1.01824,1.02747,1.02748,1.02749,0.180563,0.177717,0.174636,0.1759,0.176693,0.176692,0.176692,-0.00686219,0.0012838,0.000714586,-0.00948984,-5.16593e-10,-2.18279e-10,3.79274,-0.204893,-0.104726,1.15977,0,0,
0.200046,2.25685,0.92419,0.00644429,-0.00812257,0.00074027,-0.00983059,1.11877,1.07951,1.03778,1.05589,1.06536,1.06537,1.06538,0.187034,0.183935,0.180583,0.181962,0.18282,0.182819,0.182819,-0.00584423,-0.000406217,0.00074027,-0.00983059,-4.07454e-10,-2.18279e-10,3.79268,-0.204931,-0.104734,1.15986,0,0,
0.209491,2.25688,0.924267,0.00592657,-0.00510544,0.000766699,-0.0101731,1.16567,1.12439,1.08069,1.09983,1.10954,1.10955,1.10956,0.194734,0.191332,0.187657,0.189175,0.190108,0.190107,0.190107,-0.0051546,-0.00298815,0.0007667,-0.0101731,-3.0559e-10,-2.03727e-10,3.79278,-0.204876,-0.104819,1.15987,0,0,
0.216791,2.25707,0.924432,0.00847133,-0.00150772,0.000794961,-0.0105806,1.20204,1.1592,1.11398,1.13393,1.14381,1.14382,1.14383,0.200934,0.197287,0.193352,0.194982,0.195974,0.195974,0.195974,-0.00635884,-0.00623532,0.000794962,-0.0105806,-2.03727e-10,-1.30967e-10,3.79267,-0.204843,-0.104504,1.16,0,0,
0.225198,2.25686,0.924283,0.00329796,-0.00403371,0.000820695,-0.0109064,1.24384,1.19921,1.15224,1.17312,1.18319,1.1832,1.18321,0.208293,0.204355,0.200111,0.201876,0.202937,0.202937,0.202937,-0.00379532,-0.00614645,0.000820695,-0.0109064,-1.23691e-10,-1.16415e-10,3.79262,-0.204864,-0.10465,1.15988,0,0,
0.233487,2.25659,0.924041,-0.00218756,-0.00792922,0.000852285,-0.0112934,1.28519,1.2388,1.1901,1.21191,1.22214,1.22216,1.22217,0.215798,0.211561,0.207002,0.208906,0.210037,0.210037,0.210037,0.000352189,-0.00408417,0.000852285,-0.0112934,7.27596e-12,-2.91038e-11,3.79264,-0.204934,-0.104936,1.15971,0,0,
0.241697,2.25665,0.923918,-0.000885279,-0.00900368,0.000881904,-0.0116883,1.32645,1.2783,1.22788,1.25063,1.26101,1.26104,1.26103,0.223471,0.218929,0.214047,0.216094,0.217294,0.217294,0.217294,0.00113354,-0.00293621,0.000881904,-0.0116883,8.00355e-11,8.73115e-11,3.79265,-0.204943,-0.1049,1.1596,0,0,
0.255169,2.25686,0.923827,0.00391969,-0.00835336,0.000910423,-0.0120915,1.39538,1.34428,1.29105,1.31538,1.32596,1.32599,1.32599,0.236452,0.231391,0.225964,0.228254,0.22957,0.22957,0.22957,-0.00142574,-0.00313045,0.000910423,-0.0120915,1.96451e-10,1.45519e-10,3.79263,-0.204904,-0.104666,1.15947,0,0,
0.26124,2.25668,0.923883,0.000624488,-0.00660945,0.000964806,-0.0127787,1.42671,1.37427,1.31976,1.34482,1.35547,1.35551,1.3555,0.242593,0.237286,0.231601,0.234008,0.235376,0.235377,0.235377,-0.000364306,-0.00461249,0.000964805,-0.0127787,4.22006e-10,5.82077e-11,3.79273,-0.204959,-0.104959,1.15959,0,0,
0.266414,2.25677,0.923647,0.00187091,-0.00947831,0.000990293,-0.0130979,1.45369,1.4001,1.3445,1.3702,1.38089,1.38094,1.38092,0.24794,0.242418,0.236508,0.239017,0.240431,0.240432,0.240432,-0.000673019,-0.00369408,0.000990293,-0.0130979,5.16593e-10,8.73115e-11,3.7929,-0.204774,-0.105064,1.15914,0,0,
0.275823,2.25683,0.923662,0.00264032,-0.00751661,0.00100829,-0.0133784,1.50288,1.44718,1.38964,1.4165,1.42725,1.4273,1.42727,0.257839,0.251918,0.245594,0.248292,0.249788,0.249789,0.249789,-0.0012308,-0.0046464,0.00100829,-0.0133784,6.1118e-10,5.82077e-11,3.79266,-0.204765,-0.104729,1.15914,0,0,
0.282747,2.25705,0.924119,0.00623374,0.00140901,0.00104553,-0.013909,1.53921,1.48195,1.42297,1.4507,1.46148,1.46152,1.4615,0.265356,0.259131,0.252493,0.255336,0.256893,0.256895,0.256895,-0.00349092,-0.0104643,0.00104553,-0.013909,8.80391e-10,0,3.79266,-0.204898,-0.104505,1.15975,0,0,
0.291344,2.25706,0.924375,0.00540317,0.006059,0.00107626,-0.0143112,1.58526,1.52602,1.46525,1.49411,1.50487,1.50491,1.50491,0.274899,0.268289,0.261251,0.26428,0.265913,0.265914,0.265914,-0.00382625,-0.0155557,0.00107626,-0.0143112,1.09139e-09,-1.89175e-10,3.79273,-0.204976,-0.104582,1.1601,0,0,
0.301018,2.2572,0.924453,0.00721322,0.00646188,0.00111137,-0.0148134,1.63756,1.57608,1.51329,1.54344,1.55416,1.5542,1.5542,0.285939,0.278882,0.271383,0.274629,0.276346,0.276348,0.276347,-0.00500225,-0.0179586,0.00111137,-0.0148134,1.25146e-09,-4.07454e-10,3.79263,-0.204861,-0.104325,1.16004,0,0,
0.309538,2.25683,0.923631,-0.00107312,-0.0102106,0.00116085,-0.0153841,1.68357,1.62011,1.55556,1.58685,1.59751,1.59756,1.59755,0.295964,0.288499,0.280583,0.284027,0.285818,0.28582,0.28582,-0.000546492,-0.00941468,0.00116084,-0.0153841,1.42609e-09,-3.0559e-10,3.79276,-0.204845,-0.104849,1.1592,0,0,
0.31805,2.25685,0.924404,-0.000436832,0.00584666,0.00119891,-0.0159237,1.73046,1.66498,1.59867,1.63115,1.6417,1.64175,1.64174,0.306238,0.298355,0.290012,0.293661,0.295525,0.295527,0.295527,0.000727743,-0.0159939,0.00119891,-0.0159237,1.65164e-09,-2.91038e-10,3.79264,-0.204815,-0.104682,1.15994,0,0,
0.328376,2.25704,0.924302,0.00335906,0.00261768,0.00123753,-0.0164642,1.78736,1.71944,1.65099,1.68492,1.69532,1.69538,1.69536,0.319023,0.310618,0.301745,0.305652,0.307603,0.307606,0.307605,-0.00100541,-0.0168425,0.00123753,-0.0164642,1.89902e-09,-3.7835e-10,3.79264,-0.204815,-0.104495,1.15984,0,0,
0.334843,2.25703,0.923704,0.00275763,-0.0076233,0.00128933,-0.0171274,1.82361,1.75414,1.68433,1.7192,1.72948,1.72955,1.72951,0.32727,0.318528,0.309315,0.313388,0.315393,0.315397,0.315396,-0.001256,-0.0115922,0.00128933,-0.0171274,2.18279e-09,-3.20142e-10,3.79271,-0.204736,-0.104589,1.15915,0,0,
0.341769,2.25702,0.923607,0.00233204,-0.00837204,0.00132118,-0.0175619,1.86254,1.79139,1.72016,1.75603,1.76616,1.76623,1.76621,0.336268,0.327158,0.317573,0.32183,0.323892,0.323896,0.323895,-0.00108738,-0.00947979,0.00132117,-0.0175619,2.37924e-09,-3.49246e-10,3.79264,-0.204828,-0.104519,1.15916,0,0,
0.350117,2.25694,0.923304,0.000535199,-0.0126836,0.00136,-0.0180288,1.90999,1.83682,1.76383,1.80095,1.81089,1.81096,1.81093,0.347321,0.337759,0.327719,0.332203,0.334332,0.334337,0.334336,6.23754e-05,-0.00645665,0.00136,-0.0180288,2.60479e-09,-6.1118e-10,3.79279,-0.204673,-0.10476,1.15868,0,0,
