time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,3.14367,0.735218,-0.0453827,0.0192261,-0.00095727,-0.00318876,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0398414,-0.0201679,-0.00095727,-0.00318876,0,7.27596e-12,4.24626,0.0105814,0.260472,0.723049,0,0,
0.00809973,3.14321,0.735375,-0.0470406,0.0192574,-0.000955953,-0.00318597,0.228735,0.227566,0.226398,0.226546,0.227103,0.227106,0.227104,0.100646,0.100647,0.100647,0.100646,0.100647,0.100647,0.100647,0.0408471,-0.020181,-0.000955953,-0.00318597,0,1.45519e-11,4.24615,0.0112039,0.26014,0.72249,0,0,
0.0163517,3.14283,0.735341,-0.0467848,0.0156663,-0.000960323,-0.00320908,0.257559,0.25522,0.252874,0.253169,0.254294,0.254298,0.254293,0.101513,0.101504,0.101496,0.101497,0.101501,0.101501,0.101501,0.0410119,-0.0181109,-0.000960323,-0.00320908,0,7.27596e-12,4.24626,0.0107326,0.259631,0.722999,0,0,
0.0249121,3.14243,0.735552,-0.0468861,0.0171305,-0.000966734,-0.00323844,0.288023,0.284443,0.280863,0.28132,0.283033,0.283034,0.283028,0.102626,0.1026,0.102573,0.102576,0.102589,0.10259,0.102589,0.0411151,-0.0182583,-0.000966734,-0.00323844,1.45519e-11,-7.27596e-12,4.24633,0.0105426,0.259149,0.723428,0,0,
0.0333267,3.14194,0.735823,-0.0487485,0.0195156,-0.000975096,-0.00327503,0.317786,0.312994,0.308203,0.308814,0.31111,0.311105,0.311102,0.103942,0.103889,0.103835,0.103841,0.103868,0.103868,0.103868,0.0422412,-0.0196583,-0.000975096,-0.00327503,2.54659e-11,-2.91038e-11,4.24638,0.0104512,0.258604,0.723805,0,0,
0.0416906,3.14148,0.735989,-0.0495631,0.0195572,-0.000985432,-0.00331706,0.347228,0.341241,0.335252,0.336015,0.338882,0.338877,0.338877,0.105462,0.105373,0.105284,0.105295,0.105338,0.105338,0.105338,0.0431058,-0.0202401,-0.000985432,-0.00331706,1.45519e-11,-7.27596e-11,4.24641,0.0103903,0.258119,0.72404,0,0,
0.0501639,3.14135,0.735913,-0.0442271,0.0150247,-0.00099857,-0.00336482,0.377016,0.369818,0.362623,0.363539,0.366981,0.366975,0.366978,0.107214,0.10708,0.106946,0.106962,0.107028,0.107028,0.107027,0.0403298,-0.0178871,-0.00099857,-0.00336482,-2.18279e-11,-1.01863e-10,4.24649,0.0102221,0.25789,0.724157,0,0,
0.0582562,3.14113,0.73604,-0.0416964,0.0151198,-0.00101372,-0.00341801,0.405378,0.397029,0.388683,0.389744,0.393734,0.393733,0.393732,0.109089,0.108904,0.108719,0.108742,0.108832,0.108832,0.108831,0.0378696,-0.017078,-0.00101372,-0.00341801,-5.45697e-11,-1.09139e-10,4.24649,0.0104879,0.257667,0.723979,0,0,
0.0666499,3.14083,0.736008,-0.0407567,0.0121519,-0.00102964,-0.00347559,0.435083,0.425531,0.415976,0.41719,0.421753,0.421751,0.42175,0.111232,0.110986,0.110739,0.11077,0.110889,0.110889,0.110889,0.0364148,-0.0151167,-0.00102964,-0.00347559,-7.27596e-11,-8.00355e-11,4.24649,0.0104879,0.257367,0.723946,0,0,
0.0749096,3.14035,0.736092,-0.0434619,0.0118623,-0.00104742,-0.00354223,0.464119,0.45339,0.442656,0.444018,0.44914,0.44914,0.449138,0.113544,0.113229,0.112913,0.112952,0.113105,0.113105,0.113105,0.0374203,-0.0143042,-0.00104742,-0.00354223,-8.36735e-11,-9.45874e-11,4.24644,0.0104164,0.256945,0.724114,0,0,
