time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,2.3344,1.01837,-0.0135045,0.0200225,-0.00100602,-0.00646906,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0112295,-0.0238231,-0.00100602,-0.00646906,0,7.27596e-12,3.49808,-0.566413,0.311601,1.66975,0,0,
0.00098262,2.33405,1.01862,-0.0171112,0.0224931,-0.00100345,-0.00646301,0.203894,0.203693,0.203619,0.203742,0.203663,0.203664,0.203664,0.100078,0.100078,0.100078,0.100078,0.100078,0.100078,0.100078,0.0133318,-0.0253038,-0.00100345,-0.00646301,0,0,3.49841,-0.565167,0.310876,1.66856,0,0,
0.00947364,2.33414,1.01828,-0.0130687,0.0135477,-0.0010055,-0.00647133,0.236459,0.234576,0.233899,0.235051,0.234304,0.234307,0.234301,0.100783,0.100782,0.100781,0.100782,0.100782,0.100782,0.100782,0.0117865,-0.0206358,-0.0010055,-0.00647133,0,7.27596e-12,3.49818,-0.566032,0.311231,1.66921,0,0,
0.0180419,2.33473,1.01772,-0.00026406,0.00108512,-0.00101437,-0.00651403,0.271554,0.267848,0.266465,0.268724,0.267316,0.267314,0.267306,0.101739,0.101724,0.101718,0.101727,0.101721,0.101721,0.101721,0.0038639,-0.0118037,-0.00101437,-0.00651403,0,0,3.49818,-0.566032,0.311813,1.66865,0,0,
0.0260204,2.33537,1.01736,0.0116917,-0.00555387,-0.00102652,-0.00657545,0.304496,0.299077,0.297013,0.300312,0.298297,0.298285,0.298283,0.102873,0.102831,0.102816,0.102841,0.102825,0.102825,0.102825,-0.00588257,-0.00480823,-0.00102652,-0.00657545,1.81899e-12,-2.91038e-11,3.49805,-0.566421,0.31262,1.66875,0,0,
0.034477,2.33401,1.01892,-0.0158227,0.0245945,-0.00103349,-0.00665522,0.338403,0.331231,0.328523,0.33289,0.330194,0.330183,0.330184,0.104316,0.104233,0.104202,0.104252,0.104221,0.104221,0.104221,0.00627435,-0.0196019,-0.00103349,-0.00665522,-1.45519e-11,-6.54836e-11,3.49805,-0.566421,0.311258,1.6703,0,0,
0.0437738,2.33448,1.01777,-0.00380022,-0.00230802,-0.00104873,-0.00674091,0.376808,0.367643,0.364157,0.369731,0.366311,0.366298,0.366306,0.106171,0.10603,0.105976,0.106062,0.106009,0.106009,0.106009,0.00385666,-0.00955201,-0.00104873,-0.00674091,-6.54836e-11,-8.73115e-11,3.49812,-0.566535,0.311644,1.66928,0,0,
0.0511765,2.3354,1.0174,0.0131723,-0.00857684,-0.00106836,-0.00684684,0.408258,0.39746,0.393308,0.39987,0.395881,0.395876,0.395877,0.10789,0.107689,0.107612,0.107734,0.10766,0.107659,0.107659,-0.0067724,-0.00239778,-0.00106836,-0.00684684,-1.0732e-10,-6.54836e-11,3.49844,-0.565152,0.312202,1.66733,0,0,
0.0594213,2.33471,1.01771,-0.00165761,-0.0015267,-0.00108383,-0.00696124,0.44405,0.431396,0.426508,0.434196,0.429539,0.429532,0.429534,0.110023,0.109743,0.109636,0.109806,0.109703,0.109702,0.109702,-0.00221088,-0.00388067,-0.00108383,-0.00696124,-1.40062e-10,-2.91038e-11,3.49821,-0.566019,0.311764,1.66863,0,0,
0.0675916,2.33443,1.0181,-0.00654289,0.00591669,-0.00110428,-0.00709716,0.479594,0.465097,0.459489,0.468294,0.462964,0.46296,0.462959,0.112381,0.112011,0.111869,0.112094,0.111957,0.111957,0.111957,0.00225189,-0.00878883,-0.00110428,-0.00709716,-1.54614e-10,-2.91038e-11,3.49805,-0.566173,0.311668,1.6692,0,0,
