time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,3.37185,0.724492,0.00273175,-0.00277951,-0.00254556,-0.00441914,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.00630763,-0.0019738,0.0197739,-0.00140896,-0.0223195,-0.00301019,4.32653,-0.308279,-4.75918,0.339107,5.37185,0.724492,
0.00829175,3.3718,0.724527,0.0013357,-0.00168941,-0.00254534,-0.00441929,0.229294,0.229009,0.228243,0.228703,0.229263,0.228857,0.228789,0.101117,0.101117,0.101118,0.101117,0.101116,0.101117,0.101118,-0.00518548,-0.00285473,0.0197739,-0.00140896,-0.0223192,-0.00301033,4.32653,-0.308279,-4.75918,0.339107,5.3718,0.724527,
0.0171012,3.37182,0.724395,0.0015375,-0.00392788,-0.00257389,-0.00446803,0.260438,0.259849,0.258271,0.259221,0.260377,0.259538,0.259396,0.102668,0.102665,0.102656,0.10266,0.102666,0.102663,0.102662,-0.00500956,-0.00143973,0.0199941,-0.00142457,-0.022568,-0.00304346,4.32652,-0.308263,-4.75901,0.339077,5.37165,0.724406,
0.0249043,3.37174,0.724421,-9.87973e-05,-0.00289566,-0.00261286,-0.00453691,0.288228,0.287369,0.285067,0.286455,0.288142,0.286915,0.286707,0.104379,0.104369,0.104343,0.104357,0.104376,0.104364,0.104362,-0.00372915,-0.00177638,0.020299,-0.00144677,-0.0229119,-0.00309014,4.32653,-0.308365,-4.75885,0.339177,5.3714,0.724445,
0.0341779,3.37193,0.724744,0.00361802,0.00387189,-0.00265701,-0.00461366,0.321338,0.320156,0.316994,0.318905,0.321223,0.319533,0.319248,0.106765,0.106744,0.106688,0.106719,0.10676,0.106733,0.106728,-0.00613332,-0.00715948,0.0206347,-0.00147085,-0.0232917,-0.00314281,4.32653,-0.308398,-4.75868,0.339203,5.37143,0.724779,
0.0417013,3.37198,0.72471,0.00403593,0.00273419,-0.00271766,-0.00471784,0.348211,0.346768,0.34291,0.345246,0.348077,0.346008,0.345659,0.109037,0.109004,0.108913,0.108965,0.10903,0.108986,0.108978,-0.00736596,-0.00832204,0.0211023,-0.00150376,-0.02382,-0.00321408,4.32651,-0.308312,-4.75847,0.339094,5.37129,0.724759,
0.0499296,3.37203,0.725075,0.00426185,0.00905266,-0.00277524,-0.00481912,0.377768,0.376039,0.371417,0.374221,0.377615,0.375129,0.374709,0.111816,0.111766,0.11163,0.111708,0.111806,0.111739,0.111728,-0.00803744,-0.0136576,0.0215473,-0.00153546,-0.0243225,-0.00328366,4.32651,-0.308312,-4.75831,0.339082,5.37118,0.725135,
0.0582724,3.37197,0.724884,0.00258348,0.0040803,-0.00284504,-0.00494006,0.407946,0.405925,0.400527,0.403811,0.407778,0.404863,0.40437,0.114956,0.114886,0.114696,0.114805,0.114943,0.114848,0.114832,-0.00705673,-0.0118987,0.0220911,-0.00157425,-0.0249361,-0.00336582,4.32652,-0.308322,-4.75815,0.339082,5.37095,0.724958,
0.06654,3.37177,0.72479,-0.00166567,0.00167769,-0.00292337,-0.00507684,0.43803,0.435717,0.429548,0.433312,0.437849,0.434504,0.433939,0.118389,0.118296,0.118043,0.11819,0.118373,0.118246,0.118224,-0.00350728,-0.00952055,0.022705,-0.00161772,-0.0256284,-0.00345912,4.3265,-0.30827,-4.75794,0.339011,5.37056,0.724876,
0.0753714,3.37211,0.724647,0.00515877,-0.001338,-0.00301156,-0.0052264,0.470306,0.467683,0.460688,0.464968,0.470117,0.466308,0.465664,0.122395,0.122273,0.121944,0.122136,0.122375,0.122208,0.122179,-0.00749887,-0.00644606,0.0233762,-0.00166553,-0.0263877,-0.00356087,4.3265,-0.30827,-4.75775,0.338998,5.37071,0.724746,
